moai_id,ahu,location_name,longitude,latitude,total_length_cm
918,AHU MATA KETU,AHU MATA KETU,-109.38789700,-27.15811000,
919,AHU MATA KETU,AHU MATA KETU,-109.38790900,-27.15818900,
920,AHU MATA KETU,AHU MATA KETU,-109.38792500,-27.15817400,
921,AHU MATA KETU,AHU MATA KETU,-109.38792600,-27.15814800,
922,AHU MATA KETU,AHU MATA KETU,-109.38795000,-27.15819400,
923,AHU MATA KETU,AHU MATA KETU,-109.38804800,-27.15799300,
924,AHU MATA KETU,AHU MATA KETU,-109.38784800,-27.15816800,
928,AHU MATA KETU,AHU MATA KETU,-109.38791100,-27.15820000,
929,AHU MATA KETU,AHU MATA KETU,-109.38792900,-27.15816300,437
930,AHU MATA KETU,AHU MATA KETU,-109.38807100,-27.15802000,287
950,AHU MATA KETU,AHU MATA KETU,-109.38790600,-27.15818700,234
21,AHU NAU NAU,AHU NAU NAU,-109.32223900,-27.07447500,
24,AHU NAU NAU,AHU NAU NAU,-109.32241500,-27.07437500,
25,AHU NAU NAU,AHU NAU NAU,-109.32239800,-27.07437200,
26,AHU NAU NAU,AHU NAU NAU,-109.32223900,-27.07448200,
27,AHU NAU NAU,AHU NAU NAU,-109.32203800,-27.07449500,400
32,AHU NAU NAU,AHU NAU NAU ,-109.32247000,-27.07438800,
196,AHU NAU NAU,AHU NAU NAU,-109.32249300,-27.07439600,
197,AHU NAU NAU,AHU NAU NAU,-109.32246700,-27.07438800,
198,AHU NAU NAU,AHU NAU NAU,-109.32244500,-27.07438300,
205,AHU NAU NAU,AHU NAU NAU,-109.32251500,-27.07439900,
206,AHU NAU NAU,AHU NAU NAU,-109.32225300,-27.07446600,
212,AHU NAU NAU,AHU NAU NAU,-109.32225200,-27.07445100,
227,AHU NAU NAU,AHU NAU NAU,-109.32237200,-27.07436200,
228,AHU NAU NAU,AHU NAU NAU,-109.32222600,-27.07435400,
275,AHU NAU NAU,AHU NAU NAU,-109.32225400,-27.07444400,
407,AHU ONE MAKIHI,AHU ONE MAKIHI,-109.28330800,-27.13820800,
408,AHU ONE MAKIHI,AHU ONE MAKIHI,-109.28316200,-27.13810900,
409,AHU ONE MAKIHI,AHU ONE MAKIHI,-109.28311100,-27.13813700,
410,AHU ONE MAKIHI,AHU ONE MAKIHI,-109.28331300,-27.13812800,
423,AHU ONE MAKIHI,AHU ONE MAKIHI,-109.28315300,-27.13816200,
606,AHU ONE MAKIHI,AHU ONE MAKIHI,-109.28322100,-27.13822000,565
607,AHU ONE MAKIHI,AHU ONE MAKIHI,-109.28315700,-27.13821800,553
608,AHU ONE MAKIHI,AHU ONE MAKIHI,-109.28310400,-27.13818400,471
797,AHU ONE MAKIHI,AHU ONE MAKIHI,-109.28332400,-27.13832900,392
58,AHU OROI,AHU OROI,-109.32792700,-27.14233700,
59,AHU OROI,AHU OROI,-109.32805600,-27.14239100,
61,AHU OROI,AHU OROI,-109.32789600,-27.14240500,
62,AHU OROI,AHU OROI,-109.32791800,-27.14235700,
75,AHU OROI,AHU OROI,-109.32790900,-27.14244700,420
76,AHU OROI,AHU OROI,-109.32780400,-27.14239800,560
105,AHU OROI,AHU OROI,-109.32793200,-27.14242100,
152,AHU OROI,AHU OROI,-109.32787400,-27.14249700,348
153,AHU OROI,AHU OROI,-109.32791200,-27.14242000,353
841,AHU ORONGO,AHU ORONGO,-109.42990000,-27.14532800,
911,AHU ORONGO,AHU ORONGO,-109.42995200,-27.14533000,
596,AHU PEA,AHU PEA,-109.43073200,-27.14753400,
369,AHU TAHAI,AHU TAHAI,-109.42690300,-27.13944200,
371,AHU TAHAI,AHU TAHAI,-109.42701700,-27.14048300,
535,AHU TAHAI,AHU TAHAI,-109.42719500,-27.14028400,
536,AHU TAHAI,AHU TAHAI,-109.42705100,-27.14042700,
537,AHU TAHAI,AHU TAHAI,-109.42710400,-27.13900300,
365,AHU TARAKIU,AHU TARAKIU,-109.36558100,-27.16731000,
366,AHU TARAKIU,AHU TARAKIU,-109.36523500,-27.16724100,
490,AHU TARAKIU,AHU TARAKIU,-109.36487900,-27.16733300,
491,AHU TARAKIU,AHU TARAKIU,-109.36547100,-27.16735800,
492,AHU TARAKIU,AHU TARAKIU,-109.36542300,-27.16732300,
493,AHU TARAKIU,AHU TARAKIU,-109.36522700,-27.16732800,
541,AHU TARAKIU,AHU TARAKIU,-109.36538600,-27.16715800,
542,AHU TARAKIU,AHU TARAKIU,-109.36543300,-27.16716600,
543,AHU TARAKIU,AHU TARAKIU,-109.36542300,-27.16731500,
546,AHU TARAKIU,AHU TARAKIU,-109.36528200,-27.16740200,291
547,AHU TARAKIU,AHU TARAKIU,-109.36524200,-27.16739300,
598,AHU TARAKIU,AHU TARAKIU,-109.36553000,-27.16745200,
932,AHU TARAKIU,AHU TARAKIU,-109.36552300,-27.16738700,
88,AHU TE NIU,AHU TE NIU,-109.40753900,-27.08895200,177
89,AHU TE NUI,AHU TE NUI,-109.40752400,-27.08877300,333
194,AHU TE NUI,AHU TE NUI,-109.40778900,-27.08886300,
199,AHU TE NUI,AHU TE NUI,-109.40742600,-27.08856700,
208,AHU TE NUI,AHU TE NUI,-109.40766800,-27.08887700,
249,AHU TE NUI,AHU TE NUI,-109.40750800,-27.08875800,
250,AHU TE NUI,AHU TE NUI,-109.40749300,-27.08872200,
251,AHU TE NUI,AHU TE NUI,-109.40742000,-27.08867000,
340,AHU TE PITO KURA,AHU TE PITO KURA,-109.30163400,-27.08536300,979
737,AHU TE PITO KURA,AHU TE PITO KURA,-109.30161400,-27.08524600,
740,AHU TE PITO KURA,AHU TE PITO KURA,-109.30162300,-27.08532900,
421,AHU TE PITU KURA,AHU TE PITU KURA,-109.30161700,-27.08521000,
23,AHU TEPEU,AHU TEPEU,-109.41239700,-27.10092200,
28,AHU TEPEU,AHU TEPEU,-109.41255100,-27.10089100,
29,AHU TEPEU,AHU TEPEU,-109.41258000,-27.10100000,
30,AHU TEPEU,AHU TEPEU,-109.41260300,-27.10103900,
31,AHU TEPEU,AHU TEPEU,-109.41260100,-27.10106000,
82,AHU TEPEU,AHU TEPEU,-109.42704800,-27.13399100,
137,AHU TEPEU,AHU TEPEU,-109.42713300,-27.13376600,
139,AHU TEPEU,AHU TEPEU,-109.41255200,-27.10111100,
189,AHU TEPEU,AHU TEPEU,-109.41261200,-27.10107700,286
190,AHU TEPEU,AHU TEPEU,-109.41233300,-27.10086100,
207,AHU TEPEU,AHU TEPEU,-109.41239500,-27.10085900,408
232,AHU TEPEU,AHU TEPEU,-109.41232400,-27.10077800,
233,AHU TEPEU,AHU TEPEU,-109.41235900,-27.10078000,
266,AHU TEPEU,AHU TEPEU,-109.41238900,-27.10081900,
287,AHU TEPEU,AHU TEPEU,-109.41257500,-27.10110300,
288,AHU TEPEU,AHU TEPEU,-109.41253500,-27.10108400,257
34,AHU TONGARIKI,AHU TONGARIKI,-109.27639000,-27.12546100,
36,AHU TONGARIKI,AHU TONGARIKI,-109.27638700,-27.12543700,
140,AHU TONGARIKI,AHU TONGARIKI,-109.27635400,-27.12546300,
141,AHU TONGARIKI,AHU TONGARIKI,-109.27765000,-27.12635600,
220,AHU TONGARIKI,AHU TONGARIKI,-109.27689800,-27.12592600,
221,AHU TONGARIKI,AHU TONGARIKI,-109.27686500,-27.12589100,
222,AHU TONGARIKI,AHU TONGARIKI,-109.27684100,-27.12584600,
223,AHU TONGARIKI,AHU TONGARIKI,-109.27681300,-27.12581000,
330,AHU TONGARIKI,AHU TONGARIKI,-109.27680700,-27.12577200,
357,AHU TONGARIKI,AHU TONGARIKI,-109.27638500,-27.12546800,
382,AHU TONGARIKI,AHU TONGARIKI,-109.27766700,-27.12640400,
383,AHU TONGARIKI,AHU TONGARIKI ,-109.27880100,-27.12509800,
384,AHU TONGARIKI,AHU TONGARIKI,-109.27886500,-27.12552100,
392,AHU TONGARIKI,AHU TONGARIKI,-109.27638700,-27.12544100,
393,AHU TONGARIKI,AHU TONGARIKI,-109.27636300,-27.12546500,
394,AHU TONGARIKI,AHU TONGARIKI,-109.27635300,-27.12547400,
429,AHU TONGARIKI,AHU TONGARIKI,-109.27663700,-27.12554700,
430,AHU TONGARIKI,AHU TONGARIKI,-109.27801000,-27.12669200,
445,AHU TONGARIKI,AHU TONGARIKI,-109.27698200,-27.12605000,
446,AHU TONGARIKI,AHU TONGARIKI,-109.27695800,-27.12601800,
447,AHU TONGARIKI,AHU TONGARIKI,-109.27692200,-27.12596900,
523,AHU TONGARIKI,AHU TONGARIKI,-109.29411600,-27.09531300,
528,AHU TONGARIKI,AHU TONGARIKI,-109.27768200,-27.12636700,
529,AHU TONGARIKI,AHU TONGARIKI,-109.27767000,-27.12639700,
530,AHU TONGARIKI,AHU TONGARIKI,-109.27766300,-27.12641000,
549,AHU TONGARIKI,AHU TONGARIKI,-109.27670600,-27.12564800,
550,AHU TONGARIKI,AHU TONGARIKI,-109.27668600,-27.12560600,
